land,aar,financial_allocation,humanitarian_allocation,military_allocation,total_allocation,financial_commitment,humanitarian_commitment,military_commitment,total_commitment,per_capita_eur,andel_bnp_pct
Poland,2024,0.0,0.003161303768508262,0.5262582748770436,0.5294195786455519,0.0,0.003161303768508262,0.2,0.20316130376850827,14.481145669701329,0.09215845736553405
Poland,2025,0.0,0.00387772402175726,0.31083727416585505,0.31471499818761234,0.0,0.00387772402175726,0.43799127594155596,0.4418689999633132,8.608358883995525,0.05478386125607424
Poland,2026,0.0,0.0016616590818146677,0.29115507722015554,0.2928167363019702,0.0,0.0016616590818146677,0.29115507722015554,0.2928167363019702,8.009378541994307,0.05097193189839859
Portugal,2022,0.0,0.0017174746475389561,0.04143691204702406,0.043154386694563014,0.0,0.0017174746475389561,0.04143691204702406,0.043154386694563014,4.0351261243381655,0.020121343517849694
Portugal,2023,0.0,0.0,0.03282758699681589,0.03282758699681589,0.0,0.0,0.03282758699681589,0.03282758699681589,3.0695246540608263,0.015306327013755214
Portugal,2024,0.0,0.0,0.2273718519645858,0.2273718519645858,0.0,0.0,0.4511155558937575,0.4511155558937575,21.260274333061997,0.10601534374825221
Portugal,2025,0.000105,0.0006,0.0805,0.08120499999999999,0.000105,0.0006,0.0,0.0007049999999999999,7.5930268513852806,0.03786298046434396
Romania,2022,0.0,0.007911447381614844,0.0034070970587237507,0.011318544440338595,0.0,0.007911447381614844,0.0034070970587237507,0.011318544440338595,0.594093054932677,0.004712243854267057
Romania,2023,0.0,0.11509956293463758,0.0007567660660827986,0.11585632900072038,0.0,0.11509956293463758,0.0007567660660827986,0.11585632900072038,6.081121189401297,0.04823440656961849
Romania,2024,0.0,0.0,0.3601656762110571,0.3601656762110571,0.0,0.0,0.3601656762110571,0.3601656762110571,18.904544483612003,0.14994759292500698
Romania,2025,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.05,2.624423387937436,0.020816474587814094
Slovakia,2022,0.0,0.009000000000000001,0.2151993328989338,0.22419933289893382,0.0,0.009000000000000001,0.2151993328989338,0.22419933289893382,41.34940608445481,0.22756044389170157
Slovakia,2023,0.005,0.00184,0.48126489948178147,0.4881048994817815,0.005,0.00184,0.48126489948178147,0.4881048994817815,90.02189007218121,0.49542238219709167
Slovakia,2024,0.0,0.001453492,0.0,0.001453492,0.0,0.001860476,0.0,0.001860476,0.2680696243445076,0.0014752821983736153
Slovakia,2025,0.0,0.0062944958333333335,0.0,0.0062944958333333335,0.0,0.0043,0.0,0.0043,1.160902938220324,0.0063888605170538
Slovakia,2026,0.0,0.0007632573125,0.0,0.0007632573125,0.0,0.0007632573125,0.0,0.0007632573125,0.14076864615702972,0.0007746997753752601
Slovenia,2022,0.0,0.0057259526996583715,0.05086649147952632,0.05659244417918469,0.0,0.0057259526996583715,0.05086649147952632,0.05659244417918469,26.601694170905656,0.1083978901099838
Slovenia,2023,0.0,0.008684324058655733,0.0,0.008684324058655733,0.0,0.008684324058655733,0.0,0.008684324058655733,4.082130327468145,0.016634065176776652
Slovenia,2024,0.0,0.0045000000000000005,0.001,0.0055000000000000005,0.0,0.0045000000000000005,0.001,0.0055000000000000005,2.585315408479835,0.010534770219806047
Slovenia,2025,0.0,0.00549902,0.043,0.04849902,0.0,0.008,0.043,0.051,22.797320673122123,0.09289564210650506
Slovenia,2026,0.0,0.0005,0.0042287052972991256,0.004728705297299126,0.0,0.0072,0.0042287052972991256,0.011428705297299125,2.222762666775936,0.009057422498950168
South Korea,2022,0.0,0.09331534485329437,0.003320407338138486,0.09663575219143286,0.0,0.09331534485329437,0.003320407338138486,0.09663575219143286,1.8673191013833794,0.006311307819130443
South Korea,2023,0.009043109796271653,0.1574965518858547,0.0,0.16653966168212636,2.3210778940034724,0.3227473855088839,0.0,2.643825279512356,3.2180914862742704,0.010876751565896388
South Korea,2024,0.1849226272840127,0.052826521562543895,0.011185930585086313,0.24893507943164295,0.0,0.0203803448777841,0.011185930585086313,0.03156627546287041,4.810240705802729,0.016258019186940944
South Korea,2025,0.0,0.12668186249147229,0.0,0.12668186249147229,0.0,0.0,0.0,0.0,2.4479083182437362,0.008273627629043465
Spain,2022,0.2497,0.07243583262235596,0.5221467651571013,0.8442825977794572,0.2497,0.07243583262235596,0.4701199386194837,0.7922557712418397,17.28357516328857,0.06995800591788082
Spain,2023,0.17,0.010109968892099903,0.19277617723562435,0.37288614612772425,0.17,0.010109968892099903,0.19277617723562435,0.37288614612772425,7.633469825030118,0.030897677254166696
Spain,2024,0.051000000000000004,0.01686,0.07479934535410775,0.14265934535410774,0.051000000000000004,0.01686,0.9521,1.0199599999999998,2.9204244226497034,0.011820880061690766
Spain,2025,0.0,0.213745076,0.615,0.8287450759999999,0.0,0.211745076,1.0,1.211745076,16.965501657767103,0.0686705530632853
Spain,2026,0.0,0.001,0.037,0.038,0.0,0.001,0.037,0.038,0.7779099769820532,0.0031487137504330005
Sweden,2022,0.1604692051296412,0.1104413619309751,0.5483155638003048,0.8192261308609212,0.1604692051296412,0.1104413619309751,0.5483155638003048,0.8192261308609212,77.50697118160218,0.15242833809416578
Sweden,2023,0.10711567553346427,0.09266628732548698,1.4710828343628355,1.6708647972217865,0.10711567553346427,0.533,1.4710828343628355,2.1111985098962993,158.08049183017116,0.3108874761513193
